mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,KJEL_N_Tot_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
101979.0,0.0,2.5,11.1,38.0,6.6,0.025,0.77,,1.1,7.2,0.02,0.02,,4.96,0.003,0.92,0.6,9.8,,,,,,,,
101979.0,0.0,3.3,13.9,55.0,9.0,0.05,0.99,,1.6,9.1,0.02,0.02,,5.54,0.006,1.81,0.6,9.5,,,,,,,,
101979.0,0.0,3.9,12.9,58.0,9.8,0.025,0.99,,2.0,8.3,0.02,0.02,,4.595,0.003,2.06,1.5,13.4,,,,,,,,
101979.0,0.0,3.9,12.2,43.0,8.1,0.05,1.1,,1.0,7.9,0.015,0.02,,5.57,0.01,2.33,0.6,10.3,,,,,,,,
101979.0,0.0,3.9,14.8,50.0,9.0,0.05,0.93,,0.5,9.4,0.02,0.02,,5.9,0.003,2.15,2.0,8.9,,,,,,,,
101979.0,0.0,3.1,12.6,45.0,8.4,0.05,0.74,,2.0,8.8,0.015,0.02,,6.3,0.003,1.94,2.0,10.1,,,,,,,,
101979.0,0.0,3.5,19.5,64.0,10.5,0.05,1.13,,2.3,11.5,0.02,0.02,,5.92,0.003,2.91,1.5,10.8,,,,,,,,
101979.0,0.0,3.1,18.7,62.0,10.3,0.05,1.04,0.34,2.1,12.0,0.02,0.02,0.071,5.78,0.003,2.38,1.5,16.8,,,,,,,,
101979.0,0.0,2.8,15.4,54.0,9.3,0.05,0.15,,1.8,10.5,0.02,0.02,,5.75,0.003,3.44,1.5,6.4,,,,,,,,
101979.0,0.0,5.1,16.5,70.0,11.7,0.05,0.98,,2.1,10.8,0.015,0.02,,6.06,0.003,4.74,4.9,17.9,,,,,,,,
101979.0,0.0,4.9,24.8,72.0,13.7,0.025,1.06,,2.7,14.9,0.015,0.02,,6.07,0.006,3.7,2.0,11.8,,,,,,,,
101979.0,0.0,1.4,7.8,24.0,4.5,0.05,0.6,,0.5,5.8,0.015,0.02,,4.87,0.003,1.49,2.0,5.7,,,,,,,,
