Year,Month,Day,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Positive,Negative,Final,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
1982.0,1.0,3.0,1.4,5.5,21.0,4.6,0.1,0.4,0.5,4.8,0.0,0.0,4.8,0.0,0.4,2.0,2.0,0.3533619,0.333387324,-4.973641343,,,,,,
1982.0,2.0,1.0,1.6,9.0,36.0,6.1,0.1,0.4,1.3,5.6,0.0,0.0,4.7,0.0,0.7,2.0,2.0,0.502255847,0.549626131,-4.974109912,,,,,,
1982.0,3.0,1.0,2.0,8.9,34.8,7.4,0.1,0.5,0.5,5.0,0.0,0.0,5.2,0.0,0.8,1.5,2.0,0.539244628,0.539203596,-4.691980774,,,,,,
1982.0,4.0,1.0,1.0,7.2,24.0,5.3,0.1,0.3,1.1,4.3,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.340595003,0.367703368,-4.154520127,,,,,,
1982.0,5.0,1.0,0.5,8.1,19.0,4.2,0.1,0.4,0.5,3.5,0.0,0.0,4.5,0.0,1.1,2.0,2.0,0.298574564,0.316668384,-4.820167226,,,,,,
1987.0,6.0,1.0,0.5,5.6,18.0,4.2,0.1,0.3,0.5,3.3,0.0,0.0,4.3,0.0,1.2,2.0,2.0,0.2445355,0.246245849,-4.861151083,,,,,,
1987.0,7.0,2.0,0.5,6.1,18.0,4.3,0.1,0.4,0.5,3.7,0.0,0.0,4.6,0.0,1.1,2.0,2.0,0.269599439,0.291316272,-4.975460928,,,,,,
1988.0,8.0,3.0,0.5,6.3,23.0,4.4,0.1,0.5,0.5,4.9,0.0,0.0,4.8,0.0,2.0,2.0,2.0,0.342304753,0.351675199,-3.377287957,,,,,,
1988.0,9.0,3.0,0.5,5.0,15.0,3.6,0.1,0.2,0.5,2.5,0.0,0.0,5.7,0.0,0.2,2.0,2.0,0.286896546,0.267168157,-4.514222009,,,,,,
1981.0,10.0,1.0,0.5,5.9,17.0,3.5,0.1,0.3,0.5,3.7,0.0,0.0,4.5,0.0,1.5,2.0,2.0,0.313382203,0.30908365,-4.53168728,,,,,,
1981.0,11.0,2.0,0.5,5.6,21.0,4.2,0.1,0.4,0.5,4.6,0.0,0.0,4.5,0.0,0.9,2.0,4.0,0.317472362,0.298632946,-4.662613915,,,,,,
1983.0,12.0,1.0,1.5,7.4,26.0,4.9,0.1,0.4,0.8,4.9,0.0,0.0,4.4,0.0,0.5,1.5,4.0,0.400341276,0.414573383,-4.813464779,,,,,,
