mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Month
101975.0,0.0,4.6,25.7,77.0,9.8,0.05,3.08,2.0,14.5,0.015,0.02,,6.12,0.036,2.63,2.0,19.0,min_values_month_(4)_April
101975.0,0.0,3.7,27.8,87.0,15.2,0.05,2.72,3.6,17.8,0.015,0.27,0.77,6.19,0.046,0.93,2.0,16.2,min_values_month_(10)_October
101975.0,0.0,7.0,25.9,95.645,17.3,0.05,2.58,2.92,14.846,0.015,0.02,,6.49,0.007,2.26,8.253,19.7,min_values_month_(6)_June
101975.0,0.0,6.5,41.4,129.0,28.3,0.05,4.04,4.8,27.2,0.0,0.055,,6.155,0.144,1.648,2.0,22.8,min_values_month_(11)_November
101975.0,0.0,4.4,24.4,101.0,14.5,0.05,1.81,2.3,17.6,0.015,0.211,,6.12,0.014,2.83,8.0,17.5,min_values_month_(9)_September
101975.0,0.0,4.0,19.3,58.0,11.4,0.05,1.79,2.2,11.9,0.015,0.02,,6.3,0.003,1.91,2.0,9.666,min_values_month_(7)_July
101975.0,0.0,6.1,23.7,94.0,18.3,0.12,3.57,3.4,15.8,0.015,0.02,,6.4,0.01,1.359,4.0,10.6,min_values_month_(1)_January
101975.0,0.0,8.901,37.743,128.323,24.2,0.1,3.983,3.999,20.613,0.015,0.02,,6.722,0.003,1.932,11.123,26.7,min_values_month_(3)_March
101975.0,0.0,3.3,15.4,54.548,5.8,0.11,1.14,2.2,8.8,0.015,0.02,,6.6,0.011,1.323,7.5,11.6,min_values_month_(12)_December
101975.0,0.0,4.5,18.0,56.0,10.6,0.05,1.07,2.1,8.9,0.0,0.025,,6.3,0.005,0.2,5.4,9.4,min_values_month_(8)_August
101975.0,0.0,10.4,54.8,200.0,34.1,0.15,6.58,4.6,38.1,0.015,0.02,,6.7,0.034,1.665,9.4,38.4,min_values_month_(2)_February
101975.0,0.0,5.6,19.846,77.579,13.9,0.05,1.99,1.925,10.493,0.015,0.02,,6.12,0.008,1.978,2.0,15.286,min_values_month_(5)_May
